datapath,in-port,eth-dst,out-port,packets,bytes,duration-sec,duration-nsec,flags,vlan
0000000000000027,       1,46:fe:e1:49:87:f8,       3,      22,   11924,0,513000000,0x0000,1
000000000000001a,       1,46:fe:e1:49:87:f8,       2,     999,  624702,26,902000000,0x0000,1
000000000000001a,       2,fa:8f:99:2c:69:cd,       1,      15,    6966,28,854000000,0x0000,0
000000000000000a,       1,46:fe:e1:49:87:f8,       2,     202,  123488,6,375000000,0x0000,1
0000000000000027,       1,46:fe:e1:49:87:f8,       3,     233,  148654,7,457000000,0x0000,1
000000000000001a,       1,46:fe:e1:49:87:f8,       2,    1285,  802082,36,910000000,0x0000,1
000000000000001a,       2,fa:8f:99:2c:69:cd,       1,      15,    6966,38,862000000,0x0000,0
0000000000000003,       1,46:fe:e1:49:87:f8,       2,    2959, 1960690,0,0,0x0000,1
0000000000000003,       1,46:fe:e1:49:87:f8,       2,    3184, 2101312,0,4000000,0x0000,1
0000000000000003,       1,46:fe:e1:49:87:f8,       2,    3507, 2304386,0,3000000,0x0000,1
0000000000000027,       1,46:fe:e1:49:87:f8,       3,    1446,  904128,17,509000000,0x0000,1
000000000000000a,       1,46:fe:e1:49:87:f8,       2,    1415,  878962,16,419000000,0x0000,1
000000000000001a,       1,46:fe:e1:49:87:f8,       2,    2498, 1557556,46,959000000,0x0000,1
000000000000001a,       2,fa:8f:99:2c:69:cd,       1,      15,    6966,48,911000000,0x0000,0
000000000000000a,       1,46:fe:e1:49:87:f8,       2,    1415,  878962,26,412000000,0x0000,1
0000000000000027,       1,46:fe:e1:49:87:f8,       3,    1446,  904128,27,503000000,0x0000,1
000000000000001a,       1,46:fe:e1:49:87:f8,       2,    2498, 1557556,56,953000000,0x0000,1
000000000000001a,       2,fa:8f:99:2c:69:cd,       1,      15,    6966,58,905000000,0x0000,0
0000000000000002,       2,fa:8f:99:2c:69:cd,       3,       0,       0,1,813000000,0x0000,0
0000000000000002,       3,46:fe:e1:49:87:f8,       2,     950,  633468,1,410000000,0x0000,1
0000000000000027,       3,fa:8f:99:2c:69:cd,       1,       0,       0,1,918000000,0x0000,0
000000000000001a,       2,fa:8f:99:2c:69:cd,       1,       0,       0,1,916000000,0x0000,0
0000000000000003,       1,46:fe:e1:49:87:f8,       2,     991,  652686,0,63000000,0x0000,1
0000000000000003,       2,fa:8f:99:2c:69:cd,       1,       0,       0,1,877000000,0x0000,0
000000000000001a,       1,46:fe:e1:49:87:f8,       2,     817,  514586,3,623000000,0x0000,1
000000000000001a,       2,fa:8f:99:2c:69:cd,       1,       5,    2850,12,294000000,0x0000,0
000000000000001a,       1,46:fe:e1:49:87:f8,       2,    1207,  753974,13,509000000,0x0000,1
000000000000001a,       2,fa:8f:99:2c:69:cd,       1,       7,    3990,22,180000000,0x0000,0
000000000000000a,       2,fa:8f:99:2c:69:cd,       1,       0,       0,1,899000000,0x0000,0
000000000000001a,       1,46:fe:e1:49:87:f8,       2,    1453,  910646,23,493000000,0x0000,1
000000000000001a,       2,fa:8f:99:2c:69:cd,       1,      10,    5700,32,164000000,0x0000,0
000000000000000a,       1,46:fe:e1:49:87:f8,       2,    1542,  986184,0,299000000,0x0000,1
000000000000000a,       2,fa:8f:99:2c:69:cd,       1,       5,    2850,12,279000000,0x0000,0
0000000000000006,       1,46:fe:e1:49:87:f8,       4,    1162,  772684,0,0,0x0000,1
