datapath,in-port,eth-dst,out-port,packets,bytes,duration-sec,duration-nsec,flags,vlan
000000000000001a,       2,8a:91:5e:64:27:03,       1,      52,    2184,53,71000000,0x0000,0
0000000000000027,       1,1a:d9:eb:06:76:99,       1,     805,   59570,45,361000000,0x0000,0
0000000000000027,       3,7e:ba:50:68:c8:ee,       1,      26,    1092,47,531000000,0x0000,0
0000000000000027,       3,8a:91:5e:64:27:03,       1,      49,    2058,47,767000000,0x0000,0
0000000000000006,       1,1a:d9:eb:06:76:99,       4,     779,   57646,45,877000000,0x0000,0
0000000000000006,       1,7e:ba:50:68:c8:ee,       1,       0,       0,17,7000000,0x0000,0
0000000000000006,       4,7e:ba:50:68:c8:ee,       1,      25,    1050,46,660000000,0x0000,0
0000000000000006,       4,8a:91:5e:64:27:03,       1,      49,    2058,47,154000000,0x0000,0
000000000000000a,       1,1a:d9:eb:06:76:99,       2,     785,   58090,45,496000000,0x0000,0
000000000000000a,       2,7e:ba:50:68:c8:ee,       1,      25,    1050,47,151000000,0x0000,0
000000000000000a,       2,8a:91:5e:64:27:03,       1,      48,    2016,46,240000000,0x0000,0
000000000000001a,       1,1a:d9:eb:06:76:99,       2,      67,    4958,0,937000000,0x0000,0
000000000000001a,       2,7e:ba:50:68:c8:ee,       1,       0,       0,1,182000000,0x0000,0
000000000000001a,       2,8a:91:5e:64:27:03,       1,       0,       0,1,831000000,0x0000,0
0000000000000019,       2,1a:d9:eb:06:76:99,       2,      67,    4958,1,974000000,0x0000,0
000000000000000a,       1,1a:d9:eb:06:76:99,       2,     111,    8214,0,207000000,0x0000,0
000000000000000a,       2,8a:91:5e:64:27:03,       1,       0,       0,0,708000000,0x0000,0
0000000000000006,       1,1a:d9:eb:06:76:99,       4,       6,     444,0,114000000,0x0000,0
0000000000000006,       4,8a:91:5e:64:27:03,       1,       0,       0,0,202000000,0x0000,0
0000000000000015,       1,1a:d9:eb:06:76:99,       1,      14,    1036,0,331000000,0x0000,0
000000000000001a,       1,1a:d9:eb:06:76:99,       2,       2,     148,0,347000000,0x0000,0
000000000000001a,       2,8a:91:5e:64:27:03,       1,       0,       0,1,53000000,0x0000,0
0000000000000017,       1,1a:d9:eb:06:76:99,       1,      21,    1554,0,334000000,0x0000,0
0000000000000006,       1,1a:d9:eb:06:76:99,       4,       0,       0,0,140000000,0x0000,0
000000000000001a,       1,1a:d9:eb:06:76:99,       2,       8,     592,1,373000000,0x0000,0
000000000000000a,       1,1a:d9:eb:06:76:99,       2,       3,     222,0,359000000,0x0000,0
0000000000000016,       1,1a:d9:eb:06:76:99,       1,       9,     666,0,165000000,0x0000,0
000000000000000a,       1,1a:d9:eb:06:76:99,       2,       2,     148,0,157000000,0x0000,0
0000000000000019,       2,8a:91:5e:64:27:03,       2,       0,       0,0,697000000,0x0000,0
000000000000001a,       1,1a:d9:eb:06:76:99,       2,       7,     518,0,240000000,0x0000,0
000000000000001a,       1,1a:d9:eb:06:76:99,       2,      18,    1332,6,769000000,0x0000,0
000000000000001a,       2,8a:91:5e:64:27:03,       1,       0,       0,4,615000000,0x0000,0
000000000000000c,       1,1a:d9:eb:06:76:99,       1,       5,     370,0,102000000,0x0000,0
000000000000001a,       1,1a:d9:eb:06:76:99,       2,      42,    3108,16,677000000,0x0000,0
000000000000001a,       2,8a:91:5e:64:27:03,       1,       0,       0,14,523000000,0x0000,0
000000000000000a,       1,1a:d9:eb:06:76:99,       2,      15,    1110,0,309000000,0x0000,0
000000000000000a,       2,8a:91:5e:64:27:03,       1,       0,       0,0,752000000,0x0000,0
0000000000000027,       1,1a:d9:eb:06:76:99,       3,      38,    2812,7,475000000,0x0000,0
0000000000000027,       3,7e:ba:50:68:c8:ee,       1,       1,      42,5,883000000,0x0000,0
0000000000000027,       3,8a:91:5e:64:27:03,       1,       1,      42,8,195000000,0x0000,0
000000000000001a,       1,1a:d9:eb:06:76:99,       2,      86,    6364,26,907000000,0x0000,0
000000000000001a,       2,7e:ba:50:68:c8:ee,       1,       1,      42,4,804000000,0x0000,0
000000000000001a,       2,8a:91:5e:64:27:03,       1,       2,      84,24,753000000,0x0000,0
000000000000000a,       1,1a:d9:eb:06:76:99,       2,      39,    2886,4,968000000,0x0000,0
000000000000000a,       2,7e:ba:50:68:c8:ee,       1,       0,       0,0,342000000,0x0000,0
000000000000000a,       2,8a:91:5e:64:27:03,       1,       2,      84,10,987000000,0x0000,0
000000000000000a,       1,1a:d9:eb:06:76:99,       2,      87,    6438,15,17000000,0x0000,0
000000000000000a,       2,7e:ba:50:68:c8:ee,       1,       3,     126,8,968000000,0x0000,0
000000000000000a,       2,8a:91:5e:64:27:03,       1,       5,     210,21,36000000,0x0000,0
0000000000000027,       1,1a:d9:eb:06:76:99,       3,      86,    6364,17,561000000,0x0000,0
0000000000000027,       3,7e:ba:50:68:c8:ee,       1,       4,     168,15,969000000,0x0000,0
0000000000000027,       3,8a:91:5e:64:27:03,       1,       4,     168,18,281000000,0x0000,0
