@relation monitor-ddos-port-attack-stats

@attribute datapath string
@attribute port string
@attribute rx-pkts numeric
@attribute rx-bytes numeric
@attribute rx-error numeric
@attribute tx-pkts numeric
@attribute tx-bytes numeric
@attribute tx-error numeric

@data
15,1,33,2088,0,8,588,0
15,2,8,588,0,31,1968,0
15,fffffffe,0,0,0,0,0,0
000000000000000b,1,35,2208,0,12,828,0
000000000000000b,2,11,768,0,31,1968,0
000000000000000b,3,11,768,0,33,2088,0
000000000000000b,fffffffe,0,0,0,0,0,0
000000000000001b,1,33,2088,0,10,708,0
000000000000001b,2,11,768,0,31,1968,0
000000000000001b,3,6,468,0,31,1968,0
000000000000001b,fffffffe,0,0,0,0,0,0
000000000000001a,1,33,2088,0,12,858,0
000000000000001a,2,10,708,0,33,2088,0
000000000000001a,fffffffe,0,0,0,0,0,0
4,1,35,2208,0,11,768,0
4,2,11,768,0,33,2088,0
4,3,8,588,0,32,2028,0
4,fffffffe,0,0,0,0,0,0
13,1,35,2238,0,7,528,0
13,fffffffe,0,0,0,0,0,0
3,1,38,2388,0,13,888,0
3,2,13,888,0,38,2388,0
3,3,11,768,0,35,2208,0
3,4,31,1968,0,11,768,0
3,5,6,468,0,34,2148,0
3,6,6,468,0,32,2028,0
3,fffffffe,0,0,0,0,0,0
19,1,10,708,0,32,2028,0
19,2,34,2148,0,11,768,0
19,fffffffe,0,0,0,0,0,0
1,1,14,948,0,39,2448,0
1,2,12,828,0,35,2208,0
1,fffffffe,0,0,0,0,0,0
9,1,34,2148,0,9,648,0
9,2,8,588,0,33,2088,0
9,fffffffe,0,0,0,0,0,0
10,1,33,2088,0,10,708,0
10,2,8,588,0,32,2038,0
10,fffffffe,0,0,0,0,0,0
2,1,39,2448,0,14,948,0
2,2,13,888,0,38,2388,0
2,fffffffe,0,0,0,0,0,0
000000000000000d,1,35,2208,0,14,958,0
000000000000000d,2,10,708,0,33,2088,0
000000000000000d,3,8,588,0,36,2278,0
000000000000000d,fffffffe,0,0,0,0,0,0
6,1,38,2388,0,13,888,0
6,2,10,738,0,33,2088,0
6,3,13,888,0,38,2388,0
6,4,11,768,0,38,2388,0
6,fffffffe,0,0,0,0,0,0
000000000000000a,1,38,2388,0,11,768,0
000000000000000a,2,12,858,0,33,2088,0
000000000000000a,3,11,768,0,34,2148,0
000000000000000a,fffffffe,0,0,0,0,0,0
11,1,32,2038,0,8,588,0
11,fffffffe,0,0,0,0,0,0
000000000000000f,1,34,2148,0,7,528,0
000000000000000f,fffffffe,0,0,0,0,0,0
17,1,33,2088,0,9,648,0
17,2,12,828,0,33,2088,0
17,fffffffe,0,0,0,0,0,0
000000000000000e,1,36,2278,0,8,588,0
000000000000000e,2,7,528,0,34,2148,0
000000000000000e,fffffffe,0,0,0,0,0,0
000000000000000a,1,43,2688,0,11,768,0
000000000000000a,2,12,858,0,38,2388,0
000000000000000a,3,11,768,0,39,2448,0
000000000000000a,fffffffe,0,0,0,0,0,0
18,1,9,648,0,38,2388,0
18,2,37,2328,0,10,708,0
18,fffffffe,0,0,0,0,0,0
000000000000000d,1,40,2508,0,14,958,0
000000000000000d,2,10,708,0,38,2388,0
000000000000000d,3,8,588,0,41,2578,0
000000000000000d,fffffffe,0,0,0,0,0,0
17,1,38,2388,0,9,648,0
17,2,12,828,0,38,2388,0
17,fffffffe,0,0,0,0,0,0
15,1,38,2388,0,8,588,0
15,2,8,588,0,36,2268,0
15,fffffffe,0,0,0,0,0,0
6,1,43,2688,0,13,888,0
6,2,10,738,0,38,2388,0
6,3,13,888,0,43,2688,0
6,4,11,768,0,43,2688,0
6,fffffffe,0,0,0,0,0,0
12,1,40,2538,0,7,528,0
12,fffffffe,0,0,0,0,0,0
000000000000000f,1,39,2448,0,7,528,0
000000000000000f,fffffffe,0,0,0,0,0,0
000000000000001c,1,36,2268,0,11,768,0
000000000000001c,2,8,588,0,37,2328,0
000000000000001c,fffffffe,0,0,0,0,0,0
2,1,44,2748,0,14,948,0
2,2,13,888,0,43,2688,0
2,fffffffe,0,0,0,0,0,0
000000000000001d,1,37,2328,0,8,588,0
000000000000001d,2,38,2388,0,12,828,0
000000000000001d,fffffffe,0,0,0,0,0,0
9,1,39,2448,0,9,648,0
9,2,8,588,0,38,2388,0
9,fffffffe,0,0,0,0,0,0
000000000000001a,1,38,2388,0,12,858,0
000000000000001a,2,10,708,0,38,2388,0
000000000000001a,fffffffe,0,0,0,0,0,0
8,1,43,2688,0,13,888,0
8,2,37,2328,0,8,588,0
8,3,9,648,0,39,2448,0
8,fffffffe,0,0,0,0,0,0
5,1,37,2328,0,8,588,0
5,2,8,588,0,37,2328,0
5,fffffffe,0,0,0,0,0,0
16,1,36,2268,0,8,588,0
16,fffffffe,0,0,0,0,0,0
000000000000001b,1,38,2388,0,10,708,0
000000000000001b,2,11,768,0,36,2268,0
000000000000001b,3,6,468,0,36,2268,0
000000000000001b,fffffffe,0,0,0,0,0,0
10,1,38,2388,0,10,708,0
10,2,8,588,0,37,2338,0
10,fffffffe,0,0,0,0,0,0
000000000000000e,1,41,2578,0,8,588,0
000000000000000e,2,7,528,0,39,2448,0
000000000000000e,fffffffe,0,0,0,0,0,0
4,1,40,2508,0,11,768,0
4,2,11,768,0,38,2388,0
4,3,8,588,0,37,2328,0
4,fffffffe,0,0,0,0,0,0
000000000000000b,1,40,2508,0,12,828,0
000000000000000b,2,11,768,0,36,2268,0
000000000000000b,3,11,768,0,38,2388,0
000000000000000b,fffffffe,0,0,0,0,0,0
1,1,14,948,0,44,2748,0
1,2,12,828,0,40,2508,0
1,fffffffe,0,0,0,0,0,0
11,1,37,2338,0,8,588,0
11,fffffffe,0,0,0,0,0,0
3,1,43,2688,0,13,888,0
3,2,13,888,0,43,2688,0
3,3,11,768,0,40,2508,0
3,4,36,2268,0,11,768,0
3,5,6,468,0,39,2448,0
3,6,6,468,0,37,2328,0
3,fffffffe,0,0,0,0,0,0
14,1,40,2538,0,7,528,0
14,fffffffe,0,0,0,0,0,0
13,1,40,2538,0,7,528,0
13,fffffffe,0,0,0,0,0,0
19,1,10,708,0,37,2328,0
19,2,39,2448,0,11,768,0
19,fffffffe,0,0,0,0,0,0
7,1,38,2388,0,11,768,0
7,2,38,2388,0,10,738,0
7,3,7,528,0,40,2538,0
7,4,7,528,0,40,2538,0
7,5,7,528,0,40,2538,0
7,fffffffe,0,0,0,0,0,0
000000000000000c,1,38,2388,0,11,768,0
000000000000000c,2,14,958,0,40,2508,0
000000000000000c,fffffffe,0,0,0,0,0,0
000000000000000c,1,43,2688,0,11,768,0
000000000000000c,2,14,958,0,45,2808,0
000000000000000c,fffffffe,0,0,0,0,0,0
8,1,48,2988,0,13,888,0
8,2,42,2628,0,8,588,0
8,3,9,648,0,44,2748,0
8,fffffffe,0,0,0,0,0,0
16,1,41,2568,0,8,588,0
16,fffffffe,0,0,0,0,0,0
