@relation monitor-ddos-flow-attack-stats_clustered

@attribute Instance_number numeric
@attribute datapath string
@attribute in-port numeric
@attribute eth-dst string
@attribute out-port numeric
@attribute packets numeric
@attribute bytes numeric
@attribute Cluster {cluster0,cluster1}

@data
254,000000000000001a,1,de:f5:ad:55:e8:54,2,14922826,1104288845,cluster0
255,000000000000001a,2,0e:9b:90:6e:a3:53,1,262,25543,cluster1
256,3,2,0e:9b:90:6e:a3:53,5,262,25543,cluster1
257,3,5,de:f5:ad:55:e8:54,2,14922826,1104288845,cluster0
258,6,1,de:f5:ad:55:e8:54,4,14922826,1104288845,cluster0
259,6,4,0e:9b:90:6e:a3:53,1,262,25543,cluster1
260,000000000000001a,1,de:f5:ad:55:e8:54,2,15556270,1151163701,cluster0
261,000000000000001a,2,0e:9b:90:6e:a3:53,1,272,26563,cluster1
262,000000000000001b,1,de:f5:ad:55:e8:54,3,15556270,1151163701,cluster0
263,000000000000001b,3,0e:9b:90:6e:a3:53,1,272,26563,cluster1
264,3,2,0e:9b:90:6e:a3:53,5,272,26563,cluster1
265,3,5,de:f5:ad:55:e8:54,2,15556270,1151163701,cluster0
266,000000000000000a,1,de:f5:ad:55:e8:54,2,15556270,1151163701,cluster0
267,000000000000000a,2,0e:9b:90:6e:a3:53,1,272,26563,cluster1
268,6,1,de:f5:ad:55:e8:54,4,15556270,1151163701,cluster0
269,6,4,0e:9b:90:6e:a3:53,1,272,26563,cluster1
270,000000000000001a,1,de:f5:ad:55:e8:54,2,16189099,1197993015,cluster0
271,000000000000001a,2,0e:9b:90:6e:a3:53,1,283,27625,cluster1
272,3,2,0e:9b:90:6e:a3:53,5,283,27625,cluster1
273,3,5,de:f5:ad:55:e8:54,2,16189099,1197993015,cluster0
274,000000000000000a,1,de:f5:ad:55:e8:54,2,16189099,1197993015,cluster0
275,000000000000000a,2,0e:9b:90:6e:a3:53,1,283,27625,cluster1
276,000000000000001b,1,de:f5:ad:55:e8:54,3,16189099,1197993015,cluster0
277,000000000000001b,3,0e:9b:90:6e:a3:53,1,283,27625,cluster1
278,6,1,de:f5:ad:55:e8:54,4,16189099,1197993015,cluster0
279,6,4,0e:9b:90:6e:a3:53,1,283,27625,cluster1
280,000000000000001b,1,de:f5:ad:55:e8:54,3,16833386,1245670221,cluster0
281,000000000000001b,3,0e:9b:90:6e:a3:53,1,294,28687,cluster1
282,000000000000001a,1,de:f5:ad:55:e8:54,2,16833386,1245670221,cluster0
283,000000000000001a,2,0e:9b:90:6e:a3:53,1,294,28687,cluster1
284,3,2,0e:9b:90:6e:a3:53,5,294,28687,cluster1
285,3,5,de:f5:ad:55:e8:54,2,16833386,1245670221,cluster0
286,000000000000000a,1,de:f5:ad:55:e8:54,2,16833386,1245670221,cluster0
287,000000000000000a,2,0e:9b:90:6e:a3:53,1,294,28687,cluster1
288,6,1,de:f5:ad:55:e8:54,4,16833386,1245670221,cluster0
289,6,4,0e:9b:90:6e:a3:53,1,294,28687,cluster1
290,000000000000001a,1,de:f5:ad:55:e8:54,2,17458137,1291901795,cluster0
291,000000000000001a,2,0e:9b:90:6e:a3:53,1,304,29707,cluster1
292,6,1,de:f5:ad:55:e8:54,4,17458137,1291901795,cluster0
293,6,4,0e:9b:90:6e:a3:53,1,304,29707,cluster1
294,000000000000001b,1,de:f5:ad:55:e8:54,3,17458137,1291901795,cluster0
295,000000000000001b,3,0e:9b:90:6e:a3:53,1,304,29707,cluster1
296,3,2,0e:9b:90:6e:a3:53,5,304,29707,cluster1
297,3,5,de:f5:ad:55:e8:54,2,17458137,1291901795,cluster0
298,000000000000000a,1,de:f5:ad:55:e8:54,2,17458137,1291901795,cluster0
299,000000000000000a,2,0e:9b:90:6e:a3:53,1,304,29707,cluster1
300,3,2,0e:9b:90:6e:a3:53,5,316,30811,cluster1
301,3,5,de:f5:ad:55:e8:54,2,18100395,1339428823,cluster0
302,000000000000001a,1,de:f5:ad:55:e8:54,2,18100395,1339428823,cluster0
303,000000000000001a,2,0e:9b:90:6e:a3:53,1,316,30811,cluster1
304,000000000000000a,1,de:f5:ad:55:e8:54,2,18100395,1339428823,cluster0
305,000000000000000a,2,0e:9b:90:6e:a3:53,1,316,30811,cluster1
306,6,1,de:f5:ad:55:e8:54,4,18100395,1339428823,cluster0
307,6,4,0e:9b:90:6e:a3:53,1,316,30811,cluster1
308,000000000000001b,1,de:f5:ad:55:e8:54,3,18100395,1339428823,cluster0
309,000000000000001b,3,0e:9b:90:6e:a3:53,1,316,30811,cluster1
310,3,2,0e:9b:90:6e:a3:53,5,326,31831,cluster1
311,3,5,de:f5:ad:55:e8:54,2,18734695,1386367023,cluster0
312,000000000000001a,1,de:f5:ad:55:e8:54,2,18734695,1386367023,cluster0
313,000000000000001a,2,0e:9b:90:6e:a3:53,1,326,31831,cluster1
314,000000000000000a,1,de:f5:ad:55:e8:54,2,18734695,1386367023,cluster0
315,000000000000000a,2,0e:9b:90:6e:a3:53,1,326,31831,cluster1
316,6,1,de:f5:ad:55:e8:54,4,18734695,1386367023,cluster0
317,6,4,0e:9b:90:6e:a3:53,1,326,31831,cluster1
318,000000000000001b,1,de:f5:ad:55:e8:54,3,18734695,1386367023,cluster0
319,000000000000001b,3,0e:9b:90:6e:a3:53,1,326,31831,cluster1
320,000000000000001b,1,de:f5:ad:55:e8:54,3,19378675,1434021511,cluster0
321,000000000000001b,3,0e:9b:90:6e:a3:53,1,337,32893,cluster1
322,000000000000001a,1,de:f5:ad:55:e8:54,2,19378675,1434021511,cluster0
323,000000000000001a,2,0e:9b:90:6e:a3:53,1,337,32893,cluster1
324,3,2,0e:9b:90:6e:a3:53,5,337,32893,cluster1
325,3,5,de:f5:ad:55:e8:54,2,19378675,1434021511,cluster0
326,6,1,de:f5:ad:55:e8:54,4,19378675,1434021511,cluster0
327,6,4,0e:9b:90:6e:a3:53,1,337,32893,cluster1
328,000000000000000a,1,de:f5:ad:55:e8:54,2,19378675,1434021511,cluster0
329,000000000000000a,2,0e:9b:90:6e:a3:53,1,337,32893,cluster1
330,6,1,de:f5:ad:55:e8:54,4,20009704,1480717657,cluster0
331,6,4,0e:9b:90:6e:a3:53,1,347,33913,cluster1
332,000000000000001a,1,de:f5:ad:55:e8:54,2,20009704,1480717657,cluster0
333,000000000000001a,2,0e:9b:90:6e:a3:53,1,347,33913,cluster1
334,3,2,0e:9b:90:6e:a3:53,5,347,33913,cluster1
335,3,5,de:f5:ad:55:e8:54,2,20009704,1480717657,cluster0
336,000000000000000a,1,de:f5:ad:55:e8:54,2,20009704,1480717657,cluster0
337,000000000000000a,2,0e:9b:90:6e:a3:53,1,347,33913,cluster1
338,000000000000001b,1,de:f5:ad:55:e8:54,3,20009704,1480717657,cluster0
339,000000000000001b,3,0e:9b:90:6e:a3:53,1,347,33913,cluster1
340,000000000000001a,1,de:f5:ad:55:e8:54,2,20660736,1528893961,cluster0
341,000000000000001a,2,0e:9b:90:6e:a3:53,1,359,35017,cluster1
342,000000000000001b,1,de:f5:ad:55:e8:54,3,20660736,1528893961,cluster0
343,000000000000001b,3,0e:9b:90:6e:a3:53,1,359,35017,cluster1
344,000000000000000a,1,de:f5:ad:55:e8:54,2,20660736,1528893961,cluster0
345,000000000000000a,2,0e:9b:90:6e:a3:53,1,359,35017,cluster1
346,3,2,0e:9b:90:6e:a3:53,5,359,35017,cluster1
347,3,5,de:f5:ad:55:e8:54,2,20660736,1528893961,cluster0
348,6,1,de:f5:ad:55:e8:54,4,20660736,1528893961,cluster0
349,6,4,0e:9b:90:6e:a3:53,1,359,35017,cluster1
350,000000000000001b,1,de:f5:ad:55:e8:54,3,21298132,1576061265,cluster0
351,000000000000001b,3,0e:9b:90:6e:a3:53,1,369,36037,cluster1
352,3,2,0e:9b:90:6e:a3:53,5,369,36037,cluster1
353,3,5,de:f5:ad:55:e8:54,2,21298132,1576061265,cluster0
354,6,1,de:f5:ad:55:e8:54,4,21298132,1576061265,cluster0
