0000000000000009,fffffffe,       0,       0,       0,       0,       0,       0
000000000000001c,       1,    1379,   82794,       0,      18,    1188,       0
000000000000001c,       2,      20,    1308,       0,    1380,   82854,       0
000000000000001c,fffffffe,       0,       0,       0,       0,       0,       0
0000000000000016,       1,    1371,   82314,       0,      15,    1008,       0
0000000000000016,fffffffe,       0,       0,       0,       0,       0,       0
0000000000000015,       1,    1375,   82554,       0,      15,    1008,       0
0000000000000015,       2,      15,    1008,       0,    1371,   82314,       0
0000000000000015,fffffffe,       0,       0,       0,       0,       0,       0
000000000000000b,       1,    1371,   82314,       0,      27,    1728,       0
000000000000000b,       2,      32,    2028,       0,    1381,   82914,       0
000000000000000b,       3,      20,    1308,       0,    1392,   83574,       0
000000000000000b,fffffffe,       0,       0,       0,       0,       0,       0
0000000000000007,       1,    1390,   83454,       0,      34,    2148,       0
0000000000000007,       2,    1387,   83274,       0,      12,     828,       0
0000000000000007,       3,      14,     948,       0,    1394,   83694,       0
