datapath;in-port;eth-dst;out-port;packets;bytes
000000000000001a;2;ae:56:39:e0:e1:96;1;23;1280
3;2;ae:56:39:e0:e1:96;5;24;1354
3;5;f2:a9:ce:7a:1c:b9;2;1011264;548094188
6;1;f2:a9:ce:7a:1c:b9;4;1011264;548094188
6;4;ae:56:39:e0:e1:96;1;24;1354
000000000000000a;1;f2:a9:ce:7a:1c:b9;2;1011264;548094188
000000000000000a;2;ae:56:39:e0:e1:96;1;24;1354
000000000000000a;1;f2:a9:ce:7a:1c:b9;2;1036727;561894159
000000000000000a;2;ae:56:39:e0:e1:96;1;27;1529
3;2;ae:56:39:e0:e1:96;5;27;1529
3;5;f2:a9:ce:7a:1c:b9;2;1036727;561894159
000000000000001a;1;f2:a9:ce:7a:1c:b9;2;1036727;561894159
000000000000001a;2;ae:56:39:e0:e1:96;1;26;1455
000000000000001b;1;f2:a9:ce:7a:1c:b9;3;1036727;561894159
000000000000001b;3;ae:56:39:e0:e1:96;1;26;1455
6;1;f2:a9:ce:7a:1c:b9;4;1036727;561894159
6;4;ae:56:39:e0:e1:96;1;27;1529
000000000000000a;1;f2:a9:ce:7a:1c:b9;2;1062309;575759603
000000000000000a;2;ae:56:39:e0:e1:96;1;27;1529
3;2;ae:56:39:e0:e1:96;5;27;1529
3;5;f2:a9:ce:7a:1c:b9;2;1062309;575759603
000000000000001b;1;f2:a9:ce:7a:1c:b9;3;1062309;575759603
000000000000001b;3;ae:56:39:e0:e1:96;1;26;1455
6;1;f2:a9:ce:7a:1c:b9;4;1062309;575759603
6;4;ae:56:39:e0:e1:96;1;27;1529
000000000000001a;1;f2:a9:ce:7a:1c:b9;2;1062309;575759603
000000000000001a;2;ae:56:39:e0:e1:96;1;26;1455
000000000000001a;1;f2:a9:ce:7a:1c:b9;2;1087949;589656483
000000000000001a;2;ae:56:39:e0:e1:96;1;26;1455
000000000000000a;1;f2:a9:ce:7a:1c:b9;2;1087949;589656483
000000000000000a;2;ae:56:39:e0:e1:96;1;27;1529
3;2;ae:56:39:e0:e1:96;5;27;1529
3;5;f2:a9:ce:7a:1c:b9;2;1087949;589656483
000000000000001b;1;f2:a9:ce:7a:1c:b9;3;1087949;589656483
000000000000001b;3;ae:56:39:e0:e1:96;1;26;1455
6;1;f2:a9:ce:7a:1c:b9;4;1087949;589656483
6;4;ae:56:39:e0:e1:96;1;27;1529
3;2;ae:56:39:e0:e1:96;5;28;1571
3;5;f2:a9:ce:7a:1c:b9;2;1113447;603475899
