datapath;in-port;eth-dst;out-port;packets;bytes
000000000000001a;2;0e:9b:90:6e:a3:53;1;272;26563
000000000000001b;1;de:f5:ad:55:e8:54;3;15556270;1151163701
000000000000001b;3;0e:9b:90:6e:a3:53;1;272;26563
3;2;0e:9b:90:6e:a3:53;5;272;26563
3;5;de:f5:ad:55:e8:54;2;15556270;1151163701
000000000000000a;1;de:f5:ad:55:e8:54;2;15556270;1151163701
000000000000000a;2;0e:9b:90:6e:a3:53;1;272;26563
6;1;de:f5:ad:55:e8:54;4;15556270;1151163701
6;4;0e:9b:90:6e:a3:53;1;272;26563
000000000000001a;1;de:f5:ad:55:e8:54;2;16189099;1197993015
000000000000001a;2;0e:9b:90:6e:a3:53;1;283;27625
3;2;0e:9b:90:6e:a3:53;5;283;27625
3;5;de:f5:ad:55:e8:54;2;16189099;1197993015
000000000000000a;1;de:f5:ad:55:e8:54;2;16189099;1197993015
000000000000000a;2;0e:9b:90:6e:a3:53;1;283;27625
000000000000001b;1;de:f5:ad:55:e8:54;3;16189099;1197993015
000000000000001b;3;0e:9b:90:6e:a3:53;1;283;27625
6;1;de:f5:ad:55:e8:54;4;16189099;1197993015
6;4;0e:9b:90:6e:a3:53;1;283;27625
000000000000001b;1;de:f5:ad:55:e8:54;3;16833386;1245670221
000000000000001b;3;0e:9b:90:6e:a3:53;1;294;28687
000000000000001a;1;de:f5:ad:55:e8:54;2;16833386;1245670221
000000000000001a;2;0e:9b:90:6e:a3:53;1;294;28687
3;2;0e:9b:90:6e:a3:53;5;294;28687
3;5;de:f5:ad:55:e8:54;2;16833386;1245670221
000000000000000a;1;de:f5:ad:55:e8:54;2;16833386;1245670221
000000000000000a;2;0e:9b:90:6e:a3:53;1;294;28687
6;1;de:f5:ad:55:e8:54;4;16833386;1245670221
6;4;0e:9b:90:6e:a3:53;1;294;28687
000000000000001a;1;de:f5:ad:55:e8:54;2;17458137;1291901795
000000000000001a;2;0e:9b:90:6e:a3:53;1;304;29707
6;1;de:f5:ad:55:e8:54;4;17458137;1291901795
6;4;0e:9b:90:6e:a3:53;1;304;29707
000000000000001b;1;de:f5:ad:55:e8:54;3;17458137;1291901795
000000000000001b;3;0e:9b:90:6e:a3:53;1;304;29707
3;2;0e:9b:90:6e:a3:53;5;304;29707
3;5;de:f5:ad:55:e8:54;2;17458137;1291901795
000000000000000a;1;de:f5:ad:55:e8:54;2;17458137;1291901795
000000000000000a;2;0e:9b:90:6e:a3:53;1;304;29707
3;2;0e:9b:90:6e:a3:53;5;316;30811
3;5;de:f5:ad:55:e8:54;2;18100395;1339428823
000000000000001a;1;de:f5:ad:55:e8:54;2;18100395;1339428823
000000000000001a;2;0e:9b:90:6e:a3:53;1;316;30811
000000000000000a;1;de:f5:ad:55:e8:54;2;18100395;1339428823
000000000000000a;2;0e:9b:90:6e:a3:53;1;316;30811
6;1;de:f5:ad:55:e8:54;4;18100395;1339428823
6;4;0e:9b:90:6e:a3:53;1;316;30811
000000000000001b;1;de:f5:ad:55:e8:54;3;18100395;1339428823
000000000000001b;3;0e:9b:90:6e:a3:53;1;316;30811
3;2;0e:9b:90:6e:a3:53;5;326;31831
3;5;de:f5:ad:55:e8:54;2;18734695;1386367023
000000000000001a;1;de:f5:ad:55:e8:54;2;18734695;1386367023
000000000000001a;2;0e:9b:90:6e:a3:53;1;326;31831
