datapath,in-port,eth-dst,out-port,packets,bytes,duration-sec,duration-nsec,flags
0000000000000004,       2,e2:e1:fb:07:8a:5f,       1,      18,    1137,158,481000000,0x0000
000000000000000a,       1,26:07:6a:27:9e:1f,       2,  227105,152897881,158,451000000,0x0000
000000000000000a,       2,e2:e1:fb:07:8a:5f,       1,      18,    1137,158,496000000,0x0000
0000000000000006,       2,26:07:6a:27:9e:1f,       4,  227105,152897881,158,456000000,0x0000
0000000000000006,       4,e2:e1:fb:07:8a:5f,       2,      18,    1137,158,495000000,0x0000
0000000000000007,       1,26:07:6a:27:9e:1f,       2,  227105,152897881,158,457000000,0x0000
0000000000000007,       2,e2:e1:fb:07:8a:5f,       1,      18,    1137,158,484000000,0x0000
0000000000000003,       3,e2:e1:fb:07:8a:5f,       5,      18,    1137,158,472000000,0x0000
0000000000000003,       5,26:07:6a:27:9e:1f,       3,  227105,152897881,158,467000000,0x0000
0000000000000007,       1,26:07:6a:27:9e:1f,       2,  240949,162217029,168,458000000,0x0000
0000000000000007,       2,e2:e1:fb:07:8a:5f,       1,      18,    1137,168,485000000,0x0000
0000000000000004,       1,26:07:6a:27:9e:1f,       2,  240949,162217029,168,461000000,0x0000
0000000000000004,       2,e2:e1:fb:07:8a:5f,       1,      18,    1137,168,479000000,0x0000
0000000000000006,       2,26:07:6a:27:9e:1f,       4,  240949,162217029,168,454000000,0x0000
0000000000000006,       4,e2:e1:fb:07:8a:5f,       2,      18,    1137,168,493000000,0x0000
0000000000000003,       3,e2:e1:fb:07:8a:5f,       5,      18,    1137,168,468000000,0x0000
0000000000000003,       5,26:07:6a:27:9e:1f,       3,  240949,162217029,168,463000000,0x0000
000000000000000a,       1,26:07:6a:27:9e:1f,       2,  240949,162217029,168,451000000,0x0000
000000000000000a,       2,e2:e1:fb:07:8a:5f,       1,      18,    1137,168,496000000,0x0000
000000000000001a,       1,26:07:6a:27:9e:1f,       2,  240949,162217029,168,451000000,0x0000
000000000000001a,       2,e2:e1:fb:07:8a:5f,       1,      18,    1137,168,505000000,0x0000
000000000000001b,       1,26:07:6a:27:9e:1f,       3,  240949,162217029,168,448000000,0x0000
000000000000001b,       3,e2:e1:fb:07:8a:5f,       1,      18,    1137,168,512000000,0x0000
000000000000001a,       1,26:07:6a:27:9e:1f,       2,  253771,170854953,178,530000000,0x0000
000000000000001a,       2,e2:e1:fb:07:8a:5f,       1,      18,    1137,178,584000000,0x0000
000000000000001b,       1,26:07:6a:27:9e:1f,       3,  253771,170854953,178,521000000,0x0000
000000000000001b,       3,e2:e1:fb:07:8a:5f,       1,      18,    1137,178,585000000,0x0000
0000000000000004,       1,26:07:6a:27:9e:1f,       2,  253771,170854953,178,545000000,0x0000
0000000000000004,       2,e2:e1:fb:07:8a:5f,       1,      18,    1137,178,563000000,0x0000
0000000000000006,       2,26:07:6a:27:9e:1f,       4,  253771,170854953,178,538000000,0x0000
0000000000000006,       4,e2:e1:fb:07:8a:5f,       2,      18,    1137,178,577000000,0x0000
000000000000000a,       1,26:07:6a:27:9e:1f,       2,  253771,170854953,178,534000000,0x0000
000000000000000a,       2,e2:e1:fb:07:8a:5f,       1,      18,    1137,178,579000000,0x0000
0000000000000007,       1,26:07:6a:27:9e:1f,       2,  253771,170854953,178,540000000,0x0000
0000000000000007,       2,e2:e1:fb:07:8a:5f,       1,      18,    1137,178,567000000,0x0000
0000000000000003,       3,e2:e1:fb:07:8a:5f,       5,      18,    1137,178,554000000,0x0000
0000000000000003,       5,26:07:6a:27:9e:1f,       3,  253771,170854953,178,549000000,0x0000
0000000000000004,       1,26:07:6a:27:9e:1f,       2,  268845,181001061,188,522000000,0x0000
0000000000000004,       2,e2:e1:fb:07:8a:5f,       1,      19,    1179,188,540000000,0x0000
0000000000000003,       3,e2:e1:fb:07:8a:5f,       5,      19,    1179,188,529000000,0x0000
0000000000000003,       5,26:07:6a:27:9e:1f,       3,  268845,181001061,188,524000000,0x0000
0000000000000006,       2,26:07:6a:27:9e:1f,       4,  268845,181001061,188,514000000,0x0000
0000000000000006,       4,e2:e1:fb:07:8a:5f,       2,      19,    1179,188,553000000,0x0000
0000000000000007,       1,26:07:6a:27:9e:1f,       2,  268845,181001061,188,518000000,0x0000
0000000000000007,       2,e2:e1:fb:07:8a:5f,       1,      19,    1179,188,545000000,0x0000
000000000000001a,       1,26:07:6a:27:9e:1f,       2,  268845,181001061,188,509000000,0x0000
000000000000001a,       2,e2:e1:fb:07:8a:5f,       1,      19,    1179,188,563000000,0x0000
000000000000000a,       1,26:07:6a:27:9e:1f,       2,  268845,181001061,188,513000000,0x0000
000000000000000a,       2,e2:e1:fb:07:8a:5f,       1,      19,    1179,188,558000000,0x0000
000000000000001b,       1,26:07:6a:27:9e:1f,       3,  268845,181001061,188,506000000,0x0000
000000000000001b,       3,e2:e1:fb:07:8a:5f,       1,      19,    1179,188,570000000,0x0000
0000000000000003,       3,e2:e1:fb:07:8a:5f,       5,      19,    1179,198,531000000,0x0000
0000000000000003,       5,26:07:6a:27:9e:1f,       3,  279806,188389123,198,526000000,0x0000
0000000000000007,       1,26:07:6a:27:9e:1f,       2,  279806,188389123,198,522000000,0x0000
0000000000000007,       2,e2:e1:fb:07:8a:5f,       1,      19,    1179,198,549000000,0x0000
000000000000001a,       1,26:07:6a:27:9e:1f,       2,  279806,188389123,198,511000000,0x0000
000000000000001a,       2,e2:e1:fb:07:8a:5f,       1,      19,    1179,198,565000000,0x0000
0000000000000004,       1,26:07:6a:27:9e:1f,       2,  279806,188389123,198,526000000,0x0000
0000000000000004,       2,e2:e1:fb:07:8a:5f,       1,      19,    1179,198,544000000,0x0000
