sep=,
datapath,in-port,eth-dst,out-port,packets,bytes,duration-sec,duration-nsec,flags
000000000000000a,       1,1a:e6:06:d3:9e:cd,       2,     280,   20720,0,75000000,0x0000
000000000000001b,       1,1a:e6:06:d3:9e:cd,       3,      22,    1628,4,28000000,0x0000
000000000000001c,       1,1a:e6:06:d3:9e:cd,       1,      21,    1554,15,139000000,0x0000
000000000000000a,       1,1a:e6:06:d3:9e:cd,       3,     339,   25086,0,0,0x0000
000000000000000a,       1,1a:e6:06:d3:9e:cd,       2,     423,   31302,0,344000000,0x0000
000000000000000a,       1,1a:e6:06:d3:9e:cd,       2,     512,   37888,0,116000000,0x0000
000000000000000a,       1,1a:e6:06:d3:9e:cd,       2,     588,   43512,0,0,0x0000
000000000000001a,       1,1a:e6:06:d3:9e:cd,       2,      18,    1332,0,0,0x0000
000000000000000a,       1,1a:e6:06:d3:9e:cd,       3,      18,    1332,0,239000000,0x0000
000000000000001b,       1,1a:e6:06:d3:9e:cd,       3,     125,    9250,14,109000000,0x0000
000000000000001c,       1,1a:e6:06:d3:9e:cd,       1,      21,    1554,25,168000000,0x0000
000000000000000a,       1,1a:e6:06:d3:9e:cd,       3,      31,    2294,0,73000000,0x0000
000000000000001a,       1,1a:e6:06:d3:9e:cd,       2,      88,    6512,0,0,0x0000
000000000000001b,       1,1a:e6:06:d3:9e:cd,       3,     243,   17982,24,276000000,0x0000
000000000000001c,       1,1a:e6:06:d3:9e:cd,       1,      21,    1554,35,305000000,0x0000
000000000000000a,       1,1a:e6:06:d3:9e:cd,       2,      25,    1850,0,5000000,0x0000
000000000000001a,       1,1a:e6:06:d3:9e:cd,       2,      13,     962,0,29000000,0x0000
000000000000001c,       1,1a:e6:06:d3:9e:cd,       1,      21,    1554,45,386000000,0x0000
000000000000001b,       1,1a:e6:06:d3:9e:cd,       3,     308,   22792,34,356000000,0x0000
000000000000001a,       1,1a:e6:06:d3:9e:cd,       2,      57,    4218,0,206000000,0x0000
000000000000001c,       1,1a:e6:06:d3:9e:cd,       1,      21,    1554,55,546000000,0x0000
000000000000001a,       1,1a:e6:06:d3:9e:cd,       2,     156,   11544,2,153000000,0x0000
000000000000001b,       1,1a:e6:06:d3:9e:cd,       3,     474,   35076,44,593000000,0x0000
000000000000001b,       1,1a:e6:06:d3:9e:cd,       3,     583,   43142,54,804000000,0x0000
