sep=,
datapath,port,rx-pkts,rx-bytes,rx-error,tx-pkts,tx-bytes,tx-error,duration-sec,duration-nsec
0000000000000014,       1,      35,    6048,       0,       1,      60,       0,116,400000000
0000000000000014,fffffffe,       0,       0,       0,       0,       0,       0,116,256000000
000000000000001b,       1,      15,    4566,       0,      17,    1020,       0,115,358000000
000000000000001b,       2,      30,    5466,       0,       1,      60,       0,115,359000000
000000000000001b,       3,       0,       0,       0,      17,    1020,       0,115,372000000
000000000000001b,fffffffe,       0,       0,       0,       0,       0,       0,115,372000000
0000000000000011,       1,      31,    5808,       0,       1,      60,       0,116,633000000
0000000000000011,fffffffe,       0,       0,       0,       0,       0,       0,116,635000000
0000000000000007,       1,      22,    5550,       0,      20,    1200,       0,117,425000000
0000000000000007,       2,      33,    5646,       0,       8,     480,       0,117,424000000
0000000000000007,       3,      17,    4968,       0,      20,    1200,       0,117,591000000
0000000000000007,       4,      18,    4746,       0,      15,     900,       0,117,429000000
0000000000000007,       5,      16,    5190,       0,      21,    1260,       0,117,590000000
0000000000000007,fffffffe,       0,       0,       0,       0,       0,       0,117,431000000
0000000000000015,       1,      32,    6432,       0,       5,     300,       0,116,221000000
0000000000000015,       2,      14,    4506,       0,      19,    1140,       0,116,177000000
0000000000000015,fffffffe,       0,       0,       0,       0,       0,       0,116,179000000
0000000000000017,       1,      15,    4566,       0,      17,    1020,       0,116,71000000
0000000000000017,       2,      31,    5808,       0,       1,      60,       0,115,898000000
0000000000000017,fffffffe,       0,       0,       0,       0,       0,       0,115,903000000
000000000000000a,       1,      20,    5148,       0,      22,    1320,       0,117,172000000
000000000000000a,       2,      30,    5748,       0,       6,     360,       0,117,172000000
000000000000000a,       3,      18,    4746,       0,      21,    1260,       0,117,171000000
000000000000000a,fffffffe,       0,       0,       0,       0,       0,       0,117,105000000
000000000000000e,       1,      32,    5868,       0,       4,     240,       0,116,796000000
000000000000000e,       2,      16,    4062,       0,      15,     900,       0,116,795000000
000000000000000e,fffffffe,       0,       0,       0,       0,       0,       0,116,773000000
0000000000000018,       1,      31,    5808,       0,       2,     120,       0,115,843000000
0000000000000018,       2,      14,    4224,       0,      19,    1140,       0,115,835000000
0000000000000018,fffffffe,       0,       0,       0,       0,       0,       0,115,671000000
0000000000000012,       1,      32,    5304,       0,       3,     180,       0,116,615000000
0000000000000012,fffffffe,       0,       0,       0,       0,       0,       0,116,574000000
0000000000000004,       1,      31,    5526,       0,      11,     942,       0,117,679000000
0000000000000004,       2,      36,    6672,       0,       7,     420,       0,117,703000000
0000000000000004,       3,      19,    5088,       0,      25,    1782,       0,117,679000000
0000000000000004,fffffffe,       0,       0,       0,       1,     342,       0,117,680000000
0000000000000008,       1,      38,    6228,       0,       4,     240,       0,117,384000000
0000000000000008,       2,      20,    5994,       0,      21,    1260,       0,117,382000000
0000000000000008,       3,      18,    5310,       0,      21,    1260,       0,117,384000000
0000000000000008,fffffffe,       0,       0,       0,       0,       0,       0,117,252000000
0000000000000001,       1,      43,    8784,       0,       7,     420,       0,127,938000000
0000000000000001,       2,      44,    7998,       0,       7,     420,       0,127,938000000
0000000000000001,fffffffe,       0,       0,       0,       6,    2052,       0,127,905000000
0000000000000002,       1,      24,    6234,       0,      28,    3654,       0,127,824000000
0000000000000002,       2,      50,    9204,       0,       6,     360,       0,127,823000000
0000000000000002,fffffffe,       0,       0,       0,       7,    2394,       0,127,797000000
0000000000000011,       1,      43,    8502,       0,       1,      60,       0,126,644000000
0000000000000011,fffffffe,       0,       0,       0,       2,     684,       0,126,646000000
000000000000001a,       1,      30,    7722,       0,      28,    2808,       0,125,433000000
000000000000001a,       2,      45,    8340,       0,      11,    2352,       0,125,435000000
000000000000001a,fffffffe,       0,       0,       0,      10,    3420,       0,125,416000000
0000000000000012,       1,      43,    7656,       0,       3,     180,       0,126,626000000
0000000000000012,fffffffe,       0,       0,       0,       5,    1710,       0,126,585000000
000000000000001b,       1,      26,    7482,       0,      29,    2868,       0,125,369000000
000000000000001b,       2,      43,    7374,       0,      12,    2694,       0,125,370000000
000000000000001b,       3,       0,       0,       0,      33,    5082,       0,125,383000000
000000000000001b,fffffffe,       0,       0,       0,      11,    3762,       0,125,383000000
0000000000000014,       1,      45,    8058,       0,       1,      60,       0,126,411000000
0000000000000014,fffffffe,       0,       0,       0,       5,    1710,       0,126,267000000
0000000000000009,       1,      53,   10230,       0,       5,     300,       0,127,240000000
0000000000000009,       2,      20,    5148,       0,      29,    3714,       0,127,241000000
0000000000000009,fffffffe,       0,       0,       0,       7,    2394,       0,127,211000000
000000000000000b,       1,      23,    5892,       0,      31,    3552,       0,127,93000000
000000000000000b,       2,      53,    9666,       0,      14,    1686,       0,127,86000000
000000000000000b,       3,      24,    5952,       0,      32,    2766,       0,127,81000000
000000000000000b,fffffffe,       0,       0,       0,       6,    2052,       0,127,42000000
0000000000000010,       1,      46,    8400,       0,       4,     522,       0,126,686000000
0000000000000010,       2,      16,    5190,       0,      28,    3372,       0,126,708000000
0000000000000010,fffffffe,       0,       0,       0,       7,    2394,       0,126,688000000
000000000000000a,       1,      29,    7662,       0,      32,    2766,       0,127,183000000
000000000000000a,       2,      43,    7938,       0,      15,    2592,       0,127,183000000
000000000000000a,       3,      20,    5430,       0,      35,    4638,       0,127,182000000
000000000000000a,fffffffe,       0,       0,       0,       9,    3078,       0,127,116000000
000000000000000f,       1,      40,    8040,       0,       5,     300,       0,126,754000000
000000000000000f,fffffffe,       0,       0,       0,       5,    1710,       0,126,731000000
000000000000000e,       1,      44,    8280,       0,       6,     642,       0,126,807000000
000000000000000e,       2,      18,    4746,       0,      25,    2910,       0,126,806000000
000000000000000e,fffffffe,       0,       0,       0,       6,    2052,       0,126,784000000
0000000000000004,       1,      45,    8904,       0,      11,     942,       0,127,690000000
0000000000000004,       2,      48,    9084,       0,       8,     480,       0,127,714000000
0000000000000004,       3,      20,    5430,       0,      35,    3792,       0,127,690000000
0000000000000004,fffffffe,       0,       0,       0,       6,    2052,       0,127,691000000
0000000000000003,       1,      21,    5490,       0,      35,    4074,       0,127,770000000
0000000000000003,       2,      52,    8760,       0,      14,    1968,       0,127,770000000
0000000000000003,       3,      26,    6072,       0,      31,    4116,       0,127,769000000
0000000000000003,       4,      28,    6474,       0,      35,    3510,       0,127,769000000
0000000000000003,       5,       0,       0,       0,      37,    4476,       0,127,769000000
0000000000000003,       6,       3,     126,       0,      37,    4476,       0,127,769000000
0000000000000003,fffffffe,       0,       0,       0,       8,    2736,       0,127,771000000
0000000000000018,       1,      49,   10272,       0,       3,     180,       0,125,854000000
0000000000000018,       2,      15,    4566,       0,      33,    4518,       0,125,846000000
0000000000000018,fffffffe,       0,       0,       0,       9,    3078,       0,125,682000000
0000000000000006,       1,      28,    6756,       0,      37,    3630,       0,127,628000000
0000000000000006,       2,      26,    6354,       0,      34,    4296,       0,127,644000000
0000000000000006,       3,      21,    5208,       0,      40,    4656,       0,127,645000000
0000000000000006,       4,      46,    7554,       0,      14,    2532,       0,127,628000000
0000000000000006,fffffffe,       0,       0,       0,       9,    3078,       0,127,644000000
000000000000000d,       1,      41,    8100,       0,      11,    1224,       0,126,868000000
000000000000000d,       2,      21,    6336,       0,      31,    3270,       0,126,893000000
000000000000000d,       3,      20,    5430,       0,      29,    3150,       0,126,868000000
000000000000000d,fffffffe,       0,       0,       0,       6,    2052,       0,126,870000000
0000000000000015,       1,      46,    9528,       0,       6,     360,       0,126,232000000
0000000000000015,       2,      15,    4848,       0,      30,    3492,       0,126,188000000
0000000000000015,fffffffe,       0,       0,       0,       6,    2052,       0,126,190000000
0000000000000007,       1,      24,    5952,       0,      31,    3270,       0,127,436000000
0000000000000007,       2,      48,    9084,       0,       9,     540,       0,127,435000000
0000000000000007,       3,      18,    5310,       0,      30,    3210,       0,127,602000000
0000000000000007,       4,      19,    5088,       0,      25,    2910,       0,127,440000000
0000000000000007,       5,      17,    5532,       0,      31,    3270,       0,127,601000000
0000000000000007,fffffffe,       0,       0,       0,       5,    1710,       0,127,442000000
